Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento;;;Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento
KLXW-82;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLXW-82;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KLXW-83;K;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLXW-83;K;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KLZP-37;9;30-08-2021;2021;Pagado Internet;2da. Cuota;CT111007018;PROVIDENCIA;RIO IBA¥EZ;98780;50032;2018;CAMIONETA;HYUNDAI;PORTER 2.5 MT 4X2 DSL STD DC;2500;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLZP-37;9;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT111007018;PROVIDENCIA;RIO IBA¥EZ;98780;50032;2018;CAMIONETA;HYUNDAI;PORTER 2.5 MT 4X2 DSL STD DC;2500;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KTTR-21;5;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;SANTIAGO;RIO IBA¥EZ;296103;149977;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KTTR-21;5;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;SANTIAGO;RIO IBA¥EZ;296103;149977;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVDH-77;5;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDH-77;5;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVDH-92;9;30-08-2021;2021;Pagado Internet;2da. Cuota;HB235006219;TEMUCO;RIO IBA¥EZ;51232;25949;2019;AUTOMOVIL;TOYOTA;YARIS;1500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDH-92;9;30-08-2021;NULL;Pagado Internet;2da. Cuota;HB235006219;TEMUCO;RIO IBA¥EZ;51232;25949;2019;AUTOMOVIL;TOYOTA;YARIS;1500;Full;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
KVDH-94;5;30-08-2021;2021;Pagado Internet;2da. Cuota;SD235024319;TEMUCO;RIO IBA¥EZ;43069;21815;2019;AUTOMOVIL;TOYOTA;YARIS;1500;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDH-94;5;30-08-2021;NULL;Pagado Internet;2da. Cuota;SD235024319;TEMUCO;RIO IBA¥EZ;43069;21815;2019;AUTOMOVIL;TOYOTA;YARIS;1500;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
KVDH-96;1;30-08-2021;2021;Pagado Internet;2da. Cuota;SD235024319;TEMUCO;RIO IBA¥EZ;43069;21815;2019;AUTOMOVIL;TOYOTA;YARIS;1500;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDH-96;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;SD235024319;TEMUCO;RIO IBA¥EZ;43069;21815;2019;AUTOMOVIL;TOYOTA;YARIS;1500;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
KVDH-98;8;30-08-2021;2021;Pagado Internet;2da. Cuota;SU235013819;TEMUCO;RIO IBA¥EZ;200157;101380;2019;STATION WAGON;TOYOTA;4RUNNER;4000;NULL;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;KVDH-98;8;30-08-2021;NULL;Pagado Internet;2da. Cuota;SU235013819;TEMUCO;RIO IBA¥EZ;200157;101380;2019;STATION WAGON;TOYOTA;4RUNNER;4000;NULL;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
KVDJ-34;8;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDJ-34;8;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVDJ-36;4;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDJ-36;4;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVDJ-37;2;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVDJ-37;2;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015719;RIO IBA¥EZ;RIO IBA¥EZ;124333;62975;2019;CAMIONETA;TOYOTA;HILUX;2400;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVXV-21;5;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX DX 2.4 MT 4X4 DSL DC E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVXV-21;5;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX DX 2.4 MT 4X4 DSL DC E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVXV-22;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVXV-22;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVXV-23;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX DX 2.4 MT 4X4 DSL DC E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVXV-23;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015219;RIO IBA¥EZ;RIO IBA¥EZ;149614;75781;2019;CAMIONETA;TOYOTA;HILUX DX 2.4 MT 4X4 DSL DC E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KVXV-33;9;25-10-2021;2021;Pagado Internet;2da. Cuota;SU235012919;TEMUCO;RIO IBA¥EZ;73661;38891;2019;STATION WAGON;TOYOTA;RAV4;2000;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVXV-33;9;25-10-2021;NULL;Pagado Internet;2da. Cuota;SU235012919;TEMUCO;RIO IBA¥EZ;73661;38891;2019;STATION WAGON;TOYOTA;RAV4;2000;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
KVXV-37;1;30-08-2021;2021;Pagado Internet;2da. Cuota;SU235012919;TEMUCO;RIO IBA¥EZ;73661;37310;2019;STATION WAGON;TOYOTA;RAV4;2000;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;KVXV-37;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;SU235012919;TEMUCO;RIO IBA¥EZ;73661;37310;2019;STATION WAGON;TOYOTA;RAV4;2000;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
KVXW-93;9;30-08-2021;2021;Pagado Internet;2da. Cuota;SU235011919;TEMUCO;RIO IBA¥EZ;100776;51044;2019;STATION WAGON;TOYOTA;RAV4 2.0 MT4X4 BENC 6MT LUJO;2000;FULL;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;KVXW-93;9;30-08-2021;NULL;Pagado Internet;2da. Cuota;SU235011919;TEMUCO;RIO IBA¥EZ;100776;51044;2019;STATION WAGON;TOYOTA;RAV4 2.0 MT4X4 BENC 6MT LUJO;2000;FULL;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
KWBV-92;6;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050034119;SANTIAGO;RIO IBA¥EZ;115370;58435;2019;CAMIONETA;CHEVROLET;D-MAX 2.5 MT 4X4 DSL E5 DAB ABS;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KWBV-92;6;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050034119;SANTIAGO;RIO IBA¥EZ;115370;58435;2019;CAMIONETA;CHEVROLET;D-MAX 2.5 MT 4X4 DSL E5 DAB ABS;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KWGX-19;K;30-08-2021;2021;Pagado Internet;2da. Cuota;VN235007319;TEMUCO;RIO IBA¥EZ;162844;82481;2019;STATION WAGON;TOYOTA;4RUNNER;4000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022;;;KWGX-19;K;30-08-2021;NULL;Pagado Internet;2da. Cuota;VN235007319;TEMUCO;RIO IBA¥EZ;162844;82481;2019;STATION WAGON;TOYOTA;4RUNNER;4000;Full;Benc;Aut;0;RIO IBA¥EZ;31-03-2022
KWRY-26;2;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015019;RIO IBA¥EZ;RIO IBA¥EZ;130192;65942;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KWRY-26;2;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015019;RIO IBA¥EZ;RIO IBA¥EZ;130192;65942;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KWRY-27;0;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015019;RIO IBA¥EZ;RIO IBA¥EZ;130192;65942;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KWRY-27;0;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015019;RIO IBA¥EZ;RIO IBA¥EZ;130192;65942;2019;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
